BE_dados_as.dat,CPS_dados_as.dat,SiO2 3/2_1_dados_as.dat,SiO2 1/2_2_dados_as.dat,Si 3/2_3_dados_as.dat,Si 1/2_4_dados_as.dat,Si 1+ 3/2_5_dados_as.dat,Si 1+ 1/2_6_dados_as.dat,Si 3+ 3/2_7_dados_as.dat,Si 3+ 1/2_8_dados_as.dat,Background_dados_as.dat,Envelope_dados_as.dat,Normalised_Residual_dados_as.dat,Residual_dados_as.dat
105.12,42.5184,39.1423,39.8204,37.9124,37.9103,37.9222,37.9135,38.1964,38.1145,37.8978,41.6472,-0.133599,-0.87115
105.1,41.4822,39.1386,39.9098,37.8823,37.8802,37.8922,37.8835,38.1696,38.0873,37.8676,41.77,0.0446791,0.287763
105.08,41.5999,39.1367,40.006,37.8522,37.8501,37.8623,37.8535,38.1429,38.0601,37.8375,41.9015,0.0467553,0.301562
105.06,41.019,39.1356,40.1122,37.8222,37.8201,37.8323,37.8234,38.1163,38.0331,37.8073,42.044,0.160041,1.025
105.04,41.5921,39.1372,40.2321,37.7921,37.79,37.8023,37.7934,38.0897,38.006,37.7771,42.203,0.0947207,0.610872
105.02,42.7775,39.1401,40.3579,37.762,37.7599,37.7723,37.7634,38.0632,37.9791,37.7469,42.3694,-0.0624036,-0.408148
105,41.8355,39.1451,40.5044,37.732,37.7299,37.7424,37.7334,38.0368,37.9522,37.7168,42.5586,0.111797,0.72311
104.98,42.1966,39.1528,40.659,37.7019,37.6998,37.7124,37.7033,38.0104,37.9254,37.6866,42.7589,0.0865605,0.562288
104.96,43.7353,39.1618,40.8292,37.6718,37.6697,37.6825,37.6733,37.9841,37.8987,37.6564,42.9761,-0.114806,-0.759242
104.94,42.0788,39.1754,41.0167,37.6418,37.6397,37.6525,37.6433,37.9579,37.872,37.6263,43.2153,0.175205,1.13652
104.92,44.5674,39.1907,41.2131,37.6117,37.6096,37.6226,37.6133,37.9317,37.8455,37.5961,43.4654,-0.165072,-1.102
104.9,44.1671,39.2097,41.4378,37.5817,37.5796,37.5926,37.5833,37.9056,37.819,37.566,43.7476,-0.063127,-0.419532
104.88,45.1484,39.2326,41.6725,37.5516,37.5495,37.5627,37.5534,37.8796,37.7926,37.5358,44.0439,-0.164383,-1.10453
104.86,45.7607,39.2579,41.9299,37.5216,37.5195,37.5328,37.5234,37.8537,37.7663,37.5057,44.3653,-0.206271,-1.39536
104.84,44.7951,39.2902,42.2083,37.4916,37.4895,37.5029,37.4934,37.8278,37.7401,37.4755,44.715,-0.0119619,-0.08006
104.82,45.5095,39.3251,42.5007,37.4616,37.4594,37.473,37.4635,37.8021,37.7139,37.4454,45.0815,-0.063451,-0.428045
104.8,46.0119,39.3663,42.8278,37.4315,37.4294,37.4431,37.4335,37.7764,37.6879,37.4153,45.4891,-0.0770725,-0.522799
104.78,46.6164,39.4133,43.1676,37.4015,37.3994,37.4132,37.4036,37.7509,37.662,37.3852,45.9154,-0.102667,-0.700975
104.76,46.8598,39.4645,43.5392,37.3715,37.3694,37.3833,37.3736,37.7254,37.6362,37.3551,46.3778,-0.0704049,-0.481951
104.74,46.9383,39.526,43.9349,37.3416,37.3394,37.3535,37.3437,37.7,37.6105,37.325,46.8749,-0.00926106,-0.0634489
104.72,46.9147,39.5916,44.3508,37.3116,37.3095,37.3237,37.3138,37.6747,37.585,37.2949,47.3964,0.070324,0.48168
104.7,49.1286,39.6677,44.8074,37.2816,37.2795,37.2938,37.284,37.6495,37.5595,37.2648,47.9693,-0.165392,-1.15927
104.68,48.2572,39.7518,45.2795,37.2517,37.2495,37.264,37.2541,37.6245,37.5342,37.2348,48.566,0.0444589,0.308845
104.66,48.32,39.8434,45.7936,37.2217,37.2196,37.2342,37.2242,37.5995,37.509,37.2047,49.2123,0.128369,0.892323
104.64,48.7204,39.9498,46.3336,37.1918,37.1897,37.2045,37.1944,37.5746,37.4839,37.1747,49.8995,0.168923,1.17908
104.62,52.0882,40.0621,46.9012,37.1619,37.1597,37.1747,37.1646,37.5499,37.4591,37.1446,50.6206,-0.203354,-1.46765
104.6,52.0647,40.1917,47.5138,37.132,37.1299,37.145,37.1348,37.5253,37.4343,37.1146,51.4041,-0.0915569,-0.660637
104.58,52.2531,40.332,48.1443,37.1021,37.1,37.1152,37.105,37.5008,37.4097,37.0847,52.2165,-0.00506089,-0.0365833
104.56,53.4385,40.4848,48.8272,37.0723,37.0701,37.0856,37.0752,37.4764,37.3853,37.0547,53.0941,-0.0471184,-0.344443
104.54,53.4778,40.6581,49.5361,37.0424,37.0403,37.0559,37.0455,37.4522,37.361,37.0248,54.0183,0.0739063,0.540466
104.52,54.8202,40.8401,50.28,37.0126,37.0105,37.0262,37.0158,37.4281,37.337,36.9948,54.9865,0.022464,0.166325
104.5,56.6808,41.0492,51.0706,36.9828,36.9807,36.9966,36.9861,37.4042,37.3132,36.9649,56.0289,-0.086594,-0.651937
104.48,58.0075,41.272,51.8809,36.9531,36.9509,36.967,36.9565,37.3803,37.2895,36.9351,57.1049,-0.118507,-0.902582
104.46,59.0674,41.515,52.7522,36.9234,36.9212,36.9375,36.9268,37.3567,37.2661,36.9052,58.2625,-0.104729,-0.804899
104.44,58.6277,41.7853,53.6475,36.8937,36.8915,36.908,36.8973,37.3332,37.2429,36.8754,59.4716,0.11021,0.843865
104.42,60.6532,42.0676,54.5839,36.8641,36.8619,36.8785,36.8677,37.3099,37.22,36.8456,60.7343,0.0104072,0.0810515
104.4,62.5059,42.3911,55.5651,36.8345,36.8323,36.849,36.8382,37.2867,37.1973,36.8158,62.0832,-0.0534618,-0.422673
104.38,65.0573,42.731,56.567,36.8049,36.8027,36.8196,36.8087,37.2637,37.1749,36.7861,63.4697,-0.196833,-1.58762
104.36,66.3134,43.1019,57.6338,36.7754,36.7732,36.7902,36.7793,37.2409,37.1528,36.7564,64.9524,-0.167126,-1.36096
104.34,67.5852,43.5076,58.7207,36.7459,36.7437,36.7609,36.7499,37.2183,37.1311,36.7268,66.4904,-0.13317,-1.09479
104.32,67.9777,43.9312,59.8517,36.7164,36.7142,36.7316,36.7205,37.1959,37.1095,36.6972,68.0908,0.0137154,0.113082
104.3,69.0061,44.4114,61.0215,36.687,36.6848,36.7024,36.6912,37.1737,37.0885,36.6676,69.7871,0.0940139,0.780973
104.28,72.7273,44.9115,62.2147,36.6577,36.6555,36.6732,36.662,37.1517,37.0678,36.6381,71.527,-0.140742,-1.20025
104.26,73.5123,45.4571,63.4635,36.6284,36.6262,36.6441,36.6328,37.1299,37.0475,36.6087,73.3686,-0.016758,-0.143682
104.24,76.629,46.0448,64.73,36.5991,36.5969,36.615,36.6036,37.1083,37.0277,36.5793,75.2707,-0.155168,-1.35831
104.22,76.103,46.6605,66.0383,36.5699,36.5677,36.586,36.5746,37.087,37.0083,36.5499,77.2428,0.130657,1.13982
104.2,80.2559,47.3457,67.3756,36.5408,36.5386,36.5571,36.5456,37.0659,36.9894,36.5206,79.3142,-0.105121,-0.941731
104.18,80.515,48.0563,68.7352,36.5117,36.5095,36.5282,36.5166,37.0451,36.9711,36.4914,81.4339,0.102408,0.918906
